Dish Name	Ingredients Used	Price	Time Consumed	Menu Group
FoodA_B35LB	milk, mushroom, basil, egg	158.3	28	Dessert
FoodA_9MVFZ	mushroom, cream, carrot, spinach	832.37	12	Beverage
FoodA_TYGIS	garlic, broccoli, noodles, chicken	192.54	26	Dessert
FoodA_OJU90	rice, fish, spinach, potato	290.53	41	Dessert
FoodA_2ZSZE	milk, cheese, tomato, carrot	1003.38	25	Non-Veg
FoodA_X993S	potato, spinach, paneer, butter	222.01	21	Combo
FoodA_V5JEJ	fish, garlic, potato, carrot	606.99	33	Starter
FoodA_EJX9W	potato, mushroom, yogurt, noodles	431.82	41	Combo
FoodA_NDDHF	garlic, corn, cheese, milk	309.26	28	Non-Veg
FoodA_OR9PV	potato, carrot, rice, fish	444.44	42	Non-Veg
FoodA_M8F3Y	carrot, beef, mushroom, lentils	1081.13	33	Veg
FoodA_N107O	mushroom, rice, lentils, chicken	1003.96	14	Non-Veg
FoodA_OR1IJ	carrot, yogurt, oregano, corn	291.25	17	Veg
FoodA_A1CBI	flour, chicken, spinach, lentils	631.77	40	Starter
FoodA_QD6BK	egg, capsicum, tomato, milk	168.23	24	Non-Veg
FoodA_TEUVN	milk, potato, chicken, spinach	315.13	8	Non-Veg
FoodA_4PEY5	lentils, onion, flour, tomato	119.41	27	Veg
FoodA_E0DUI	flour, garlic, cream, noodles	517.78	27	Combo
FoodA_K86VL	carrot, paneer, cream, rice	1190.09	28	Veg
FoodA_WZ85Y	onion, capsicum, noodles, garlic	721.58	21	Non-Veg
FoodA_IFBE2	lentils, rice, broccoli, butter	1076.3	38	Veg
FoodA_FBVIT	broccoli, fish, noodles, beef	330.36	13	Beverage
FoodA_26UK3	cream, basil, fish, tomato	1109.17	31	Beverage
FoodA_NO084	pepper, garlic, carrot, cream	1094.52	33	Starter
FoodA_F8CLC	beef, capsicum, carrot, butter	1101.26	34	Combo
FoodA_RG3RU	capsicum, rice, cheese, beef	547.34	19	Main Course
FoodA_8Q844	rice, garlic, oregano, paneer	750.33	25	Combo
FoodA_YO8C8	cream, egg, broccoli, basil	518.44	9	Veg
FoodA_O4W56	broccoli, basil, cheese, flour	1130.98	41	Combo
FoodA_90NOZ	corn, egg, cream, potato	238.01	9	Dessert
FoodA_6M138	milk, lentils, tomato, paneer	333.25	28	Beverage
FoodA_CIWW9	yogurt, carrot, broccoli, chicken	621.13	15	Veg
FoodA_FPZ0F	fish, broccoli, noodles, tomato	944.53	5	Main Course
FoodA_EOSUH	pepper, broccoli, onion, potato	648.02	40	Combo
FoodA_AGXQF	mushroom, fish, lentils, yogurt	456.06	27	Veg
FoodA_OKR2C	spinach, garlic, fish, cheese	589.45	19	Starter
FoodA_POU1D	spinach, butter, noodles, lentils	970.84	39	Main Course
FoodA_3IC8N	carrot, flour, onion, corn	649.62	20	Non-Veg
FoodA_NQBKQ	capsicum, cream, oregano, tomato	440.35	26	Dessert
FoodA_MD50D	basil, cream, garlic, lentils	463.8	15	Dessert
FoodA_AHI9I	carrot, paneer, cheese, potato	178.18	33	Main Course
FoodA_RO9OE	potato, butter, corn, tomato	654.69	7	Starter
FoodA_ZJ7LO	cream, mushroom, yogurt, fish	1083.08	12	Main Course
FoodA_YGFH4	egg, lentils, cheese, broccoli	147.95	38	Veg
FoodA_GDL6X	flour, basil, broccoli, tomato	556.02	5	Main Course
FoodA_S6KHI	broccoli, beef, flour, basil	367.54	34	Dessert
FoodA_Q8617	lentils, egg, paneer, potato	834.05	13	Combo
FoodA_HUXSR	chicken, rice, lentils, potato	523.04	25	Combo
FoodA_35BM9	milk, fish, cheese, spinach	720.17	32	Beverage
FoodA_JX5IZ	flour, cream, pepper, capsicum	406.5	7	Main Course
FoodA_CF2JX	noodles, flour, onion, paneer	176.95	19	Beverage
FoodA_720Y1	rice, milk, mushroom, basil	724.3	31	Veg
FoodA_Y5LB2	capsicum, butter, rice, beef	313.43	32	Main Course
FoodA_0LWTY	fish, garlic, cream, potato	711.96	25	Dessert
FoodA_DIY49	mushroom, flour, garlic, oregano	133.09	12	Non-Veg
FoodA_TGPR3	fish, basil, garlic, yogurt	404.86	18	Dessert
FoodA_US46K	capsicum, egg, garlic, broccoli	1195.42	34	Non-Veg
FoodA_3PNG7	onion, capsicum, corn, flour	1176.22	21	Starter
FoodA_6OX2D	fish, beef, mushroom, carrot	1014.45	16	Dessert
FoodA_E3WFH	cream, beef, yogurt, onion	797.69	37	Combo
FoodA_7JB3O	mushroom, paneer, spinach, yogurt	828.38	22	Beverage
FoodA_O8R48	cream, egg, butter, onion	886.24	37	Beverage
FoodA_B05U4	paneer, beef, potato, capsicum	110.23	20	Beverage
FoodA_DO1BN	cheese, pepper, capsicum, tomato	1036.63	7	Main Course
FoodA_5MYUR	capsicum, cream, mushroom, tomato	545.85	11	Veg
FoodA_LIKQI	yogurt, garlic, noodles, tomato	996.81	14	Starter
FoodA_N9BL8	basil, spinach, carrot, egg	231.11	5	Non-Veg
FoodA_EVY49	garlic, onion, capsicum, yogurt	471.91	22	Non-Veg
FoodA_I0L9B	milk, cheese, capsicum, yogurt	1117.74	34	Starter
FoodA_RIYXI	spinach, yogurt, egg, fish	883.39	23	Non-Veg
FoodA_2L7YZ	spinach, cheese, fish, basil	843.93	39	Veg
FoodA_SAC7B	yogurt, paneer, butter, basil	827.78	13	Beverage
FoodA_4D97Y	paneer, noodles, butter, chicken	344.78	41	Non-Veg
FoodA_Y1GEJ	tomato, basil, capsicum, paneer	1014.57	35	Beverage
FoodA_ALP3F	tomato, yogurt, broccoli, oregano	1054.37	15	Veg
FoodA_AZOOW	noodles, cream, garlic, basil	343.34	35	Main Course
FoodA_1OLUE	carrot, capsicum, onion, rice	509.9	13	Non-Veg
FoodA_MMSAZ	carrot, onion, spinach, broccoli	560.65	13	Combo
FoodA_0LRD8	carrot, oregano, lentils, spinach	1077.39	38	Starter
FoodA_8QGZP	spinach, flour, yogurt, noodles	267.15	23	Starter
FoodA_YDVE3	pepper, beef, flour, lentils	676.5	42	Starter
FoodA_LPEEB	beef, chicken, butter, oregano	737.2	10	Combo
FoodA_QMA0P	basil, chicken, cream, yogurt	378.46	13	Dessert
FoodA_ACS8U	yogurt, basil, lentils, pepper	309.36	5	Combo
FoodA_CW8S4	carrot, oregano, paneer, potato	522.22	36	Beverage
FoodA_E2ZGR	tomato, potato, fish, cheese	741.2	27	Combo
FoodA_MYDXU	garlic, capsicum, potato, egg	906.03	13	Beverage
FoodA_A34J9	lentils, yogurt, tomato, onion	1063.16	6	Main Course
FoodA_FMEJA	fish, butter, noodles, yogurt	592.73	9	Main Course
FoodA_LNPI8	potato, spinach, chicken, oregano	1150.99	28	Dessert
FoodA_BXIHX	spinach, potato, noodles, cream	933.22	20	Dessert
FoodA_1KH9T	milk, broccoli, mushroom, basil	790.07	12	Non-Veg
FoodA_BO970	noodles, capsicum, garlic, broccoli	747.28	30	Non-Veg
FoodA_UYDSQ	corn, garlic, yogurt, cream	618.6	18	Main Course
FoodA_9HAHS	tomato, yogurt, onion, noodles	232.2	14	Veg
FoodA_C0L3J	capsicum, tomato, rice, beef	209.27	10	Starter
FoodA_7LU6O	spinach, tomato, paneer, lentils	393.32	39	Veg
FoodA_AR8NX	oregano, butter, beef, corn	971.97	42	Main Course
FoodA_KUHJP	noodles, broccoli, spinach, fish	1103.59	32	Beverage
FoodA_9OXOK	cream, cheese, lentils, oregano	636.73	32	Veg
FoodA_F683A	tomato, carrot, chicken, milk	1176.61	37	Non-Veg
FoodA_R2L6T	flour, lentils, oregano, milk	159.05	5	Dessert
FoodA_J1YTN	beef, milk, fish, flour	384.81	38	Non-Veg
FoodA_YRIW5	chicken, oregano, yogurt, spinach	836.86	17	Non-Veg
FoodA_WFO4Z	cheese, cream, flour, basil	1147.46	30	Non-Veg
FoodA_KY2YU	chicken, onion, cream, carrot	136.44	20	Combo
FoodA_4PSQO	egg, cheese, garlic, carrot	987.6	27	Veg
FoodA_CQE8O	potato, butter, corn, tomato	310.88	26	Non-Veg
FoodA_L5NZW	pepper, fish, carrot, basil	313.28	21	Veg
FoodA_MAIAN	cheese, butter, tomato, carrot	397.5	28	Main Course
FoodA_AT5ER	oregano, paneer, broccoli, mushroom	908.74	13	Dessert
FoodA_WGAZB	spinach, rice, potato, beef	108.29	26	Dessert
FoodA_LVOPK	egg, capsicum, cream, carrot	664.32	39	Combo
FoodA_LGX1U	corn, broccoli, yogurt, paneer	210.31	37	Veg
FoodA_5CIZM	broccoli, onion, cream, egg	780.65	28	Main Course
FoodA_FM6DT	milk, pepper, noodles, rice	539.73	45	Combo
FoodA_E0SJP	chicken, lentils, potato, spinach	1164.93	35	Beverage
FoodA_WB0MO	flour, oregano, cheese, carrot	442.33	13	Beverage
FoodA_BUV9I	tomato, cream, paneer, corn	401.3	13	Dessert
FoodA_Y0R2K	lentils, cream, yogurt, chicken	596.09	36	Non-Veg
FoodA_BLSFT	milk, corn, chicken, broccoli	128.66	8	Main Course
FoodA_1VBQ3	tomato, garlic, carrot, noodles	320.5	32	Beverage
FoodA_RG7B2	paneer, garlic, tomato, potato	184.4	36	Veg
FoodA_A5161	oregano, broccoli, chicken, butter	986.15	8	Combo
FoodA_ZLQVJ	paneer, capsicum, mushroom, chicken	1191.86	35	Combo
FoodA_BHP71	yogurt, chicken, cheese, oregano	1077.02	9	Dessert
FoodA_2YNVQ	chicken, capsicum, beef, onion	976.09	39	Dessert
FoodA_WRO3F	cheese, egg, onion, chicken	1021.02	10	Main Course
FoodA_1G1ZB	capsicum, garlic, tomato, beef	781.63	17	Non-Veg
FoodA_P1BD3	oregano, mushroom, broccoli, yogurt	415.36	12	Beverage
FoodA_OPTN7	broccoli, lentils, fish, egg	261.25	38	Starter
FoodA_0WWJ6	garlic, potato, pepper, flour	949.02	7	Dessert
FoodA_GRWE6	carrot, milk, butter, lentils	1110.99	25	Combo
FoodA_8ZXHV	fish, rice, tomato, onion	379.95	38	Starter
FoodA_42KOF	beef, capsicum, chicken, paneer	172.99	41	Non-Veg
FoodA_YIR70	cheese, potato, onion, beef	324.15	29	Main Course
FoodA_WCA9U	fish, corn, oregano, beef	730.97	36	Main Course
FoodA_T7E3V	butter, cheese, noodles, rice	958.77	32	Dessert
FoodA_F36UW	cheese, egg, cream, fish	824.62	41	Veg
FoodA_EJGTI	broccoli, corn, basil, tomato	1134.07	35	Combo
FoodA_DOTOD	cheese, garlic, mushroom, rice	359.48	42	Veg
FoodA_22N2V	mushroom, rice, cheese, broccoli	1162.61	15	Main Course
FoodA_J2T02	noodles, capsicum, flour, potato	458.95	32	Beverage
FoodA_00SWV	butter, cream, egg, paneer	1026.05	15	Main Course
FoodA_XZ2S8	rice, flour, tomato, paneer	519.24	17	Veg
FoodA_E1EX8	garlic, spinach, beef, milk	374.33	9	Starter
FoodA_O6953	mushroom, oregano, pepper, milk	895.37	23	Starter
FoodA_7SJ2Y	beef, garlic, pepper, lentils	941.19	15	Non-Veg
FoodA_G4TMQ	tomato, beef, cream, spinach	633.53	33	Veg
FoodA_D8XLN	onion, fish, beef, paneer	575.02	5	Combo
FoodA_1OH6H	tomato, broccoli, cream, onion	155.41	18	Starter
FoodA_0VH75	fish, flour, noodles, pepper	546.85	5	Dessert
FoodA_KCMR4	basil, yogurt, broccoli, cream	755.7	15	Veg
FoodA_X0E5L	chicken, beef, paneer, carrot	827.24	18	Beverage
FoodA_9Z9FK	flour, fish, lentils, rice	955.7	42	Main Course
FoodA_89C91	egg, paneer, yogurt, beef	927.12	12	Dessert
FoodA_H129M	flour, fish, tomato, onion	375.14	25	Combo
FoodA_T2OAJ	beef, tomato, noodles, lentils	812.27	33	Non-Veg
FoodA_V7OTK	tomato, cheese, chicken, pepper	173.7	34	Starter
FoodA_5T5IC	cream, paneer, cheese, onion	570.79	18	Main Course
FoodA_JCUVJ	basil, oregano, pepper, cheese	1145.14	23	Non-Veg
FoodA_53HB7	chicken, egg, broccoli, oregano	986.15	45	Dessert
FoodA_XRYGR	tomato, lentils, egg, basil	272.09	36	Main Course
FoodA_PHENN	butter, broccoli, cheese, carrot	246.17	16	Non-Veg
FoodA_DD0OM	fish, beef, mushroom, paneer	1021.82	6	Starter
FoodA_0X7LN	capsicum, onion, broccoli, tomato	608.22	32	Starter
FoodA_MKT6W	garlic, milk, noodles, oregano	392.3	25	Beverage
FoodA_2QCWI	broccoli, fish, beef, corn	936.97	38	Starter
FoodA_UKSTC	milk, pepper, chicken, capsicum	726.45	19	Beverage
FoodA_HKFW6	corn, spinach, garlic, pepper	1178.19	22	Veg
FoodA_ESVWL	noodles, garlic, yogurt, fish	259.98	9	Non-Veg
FoodA_6CQ27	tomato, mushroom, lentils, potato	181.97	43	Beverage
FoodA_VWTVE	noodles, cheese, garlic, potato	770.98	35	Main Course
FoodA_DIWZT	egg, rice, lentils, cream	722.12	44	Combo
FoodA_JYFNM	rice, yogurt, fish, basil	447.62	13	Main Course
FoodA_FGCR6	cheese, oregano, yogurt, noodles	945.77	39	Non-Veg
FoodA_QR80Y	beef, mushroom, flour, broccoli	231.56	42	Combo
FoodA_0Y0UA	basil, cream, egg, spinach	236.21	27	Non-Veg
FoodA_T5QT0	basil, lentils, fish, paneer	451.11	20	Main Course
FoodA_Q8QUK	cream, flour, rice, cheese	781.51	12	Veg
FoodA_62UEF	fish, butter, flour, paneer	582.89	6	Starter
FoodA_HQ6LI	broccoli, pepper, onion, garlic	668.73	5	Main Course
FoodA_2DCSG	carrot, chicken, cream, beef	829.45	5	Non-Veg
FoodA_HIO7D	paneer, beef, milk, onion	924.25	6	Starter
FoodA_2P0DD	onion, chicken, beef, tomato	1146.6	24	Main Course
FoodA_TYL9E	basil, potato, noodles, paneer	192.07	8	Beverage
FoodA_7ILLH	potato, cream, lentils, rice	493.42	26	Veg
FoodA_REHND	lentils, spinach, fish, onion	427.46	38	Veg
FoodA_G60SW	pepper, noodles, broccoli, milk	1111.11	12	Combo
